analysis,outcome,exposure,model,term,n_cases,n_obs,rr_ci,rr,lci,uci,log_rr,se,n_imps
V1 definite - crude,ih1,MVM any vs none,crude,mvm2_num,700,40700,"1.22 (1.05, 1.43)",1.2244430312820036,1.04636739389942,1.4328244033559543,0.20248607226247758,0.08018445474055469,20
V1 definite - crude,ih1,MVM score (continuous),crude,mvm_num,700,40700,"1.09 (1.01, 1.18)",1.0920018886086371,1.0087032989891227,1.1821792651217344,0.08801260681630661,0.040483144493641855,20
V1 definite - crude,ih1,AI any vs none,crude,ai_num,700,40700,"1.25 (1.06, 1.47)",1.247680793731462,1.0554461628272824,1.4749282510785127,0.22128646297778654,0.08536881749707631,20
V1 definite - primary,ih1,MVM any vs none,adjusted,mvm21,700,40700,"1.26 (1.07, 1.47)",1.2552031988462493,1.0730930910472778,1.4682184458537741,0.2272974709087804,0.07997563943401476,20
V1 definite - primary,ih1,MVM score (continuous),adjusted,mvm,700,40700,"1.12 (1.04, 1.22)",1.124668486741957,1.0376780620856505,1.21895147569,0.11748831377856325,0.041072821058811826,20
V1 definite - primary,ih1,AI any vs none,adjusted,ai1,700,40700,"1.20 (1.01, 1.42)",1.1973967461171793,1.0128695834128552,1.4155415377179859,0.18014982204858193,0.08538895306080858,20
V1 definite - site,ih1,MVM any vs none,adjusted+site,mvm21,700,40700,"1.14 (0.96, 1.35)",1.137939239136884,0.9608067504089017,1.3477275335714938,0.1292189416046084,0.0863270020533491,20
V1 definite - site,ih1,MVM score (continuous),adjusted+site,mvm,700,40700,"1.06 (0.97, 1.15)",1.0571092367493318,0.969248607930694,1.152934272257072,0.05553804757412578,0.04427152359170481,20
V1 definite - site,ih1,AI any vs none,adjusted+site,ai1,700,40700,"1.13 (0.96, 1.34)",1.1302234681347876,0.9556753844857251,1.3366516587743167,0.12241537258375094,0.08558793477242142,20
V1 definite - supplemental,ih1,MVM grade (3-level),adjusted,mvm3Low,700,40700,"1.25 (1.06, 1.47)",1.2483571135057092,1.0575358676358972,1.4736100500535003,0.2218283776569168,0.08463613719776081,20
V1 definite - supplemental,ih1,MVM grade (3-level),adjusted,mvm3High,700,40700,"1.30 (0.91, 1.84)",1.2964986600040482,0.9148978216721086,1.8372639387425669,0.25966729244729997,0.17786233810878302,20
V1 definite - supplemental,ih1,AI stage (3-level),adjusted,ai3Low,700,40700,"1.30 (1.06, 1.60)",1.3025989306784278,1.058099617003765,1.603595679402411,0.26436144621659813,0.1060647761503543,20
